# ID	Field	StarID	I	V	P_1	dP_1	A_1
 10066	 232.6	111140	17.206	20.055	0.4132790	0.0000011	0.247
 10067	 166.5	65103	16.611	18.302	0.2481005	0.0000003	0.254
 10068	 126.5	57753	15.720	17.137	0.5756916	0.0000027	0.356
 10069	 215.8	93863	16.244	18.082	0.6431174	0.0000001	0.253
 10070	 158.7	68064	16.577	18.087	0.5073144	0.0000005	0.647
 10071	 143.2	15517	15.815	17.171	0.6090221	0.0000018	0.231
 10072	 143.4	129186	16.019	17.604	0.4989202	0.0000015	0.682
 10073	 232.5	145219	17.175	19.881	0.6233920	0.0000008	0.219
 10074	 183.5	12927	16.194	17.766	0.4876312	0.0000010	0.570
 10075	 215.7	99772	15.791	17.467	0.3389964	0.0000003	0.234
 10076	 174.7	56036	16.160	17.911	0.3213358	0.0000003	0.250
 10077	 232.6	117345	16.626	19.022	0.5543756	0.0000003	0.592
 10078	 188.3	84961	16.982	18.361	0.6183006	0.0000001	0.758
 10079	 215.8	159459	16.387	18.200	0.5312128	0.0000002	0.480
 10080	 166.7	122195	16.732	18.298	0.5654406	0.0000003	0.743
 10081	 188.3	93121	16.002	17.140	0.2904971	0.0000001	0.230
 10082	 223.1	177502	16.428	18.446	0.6242444	0.0000008	0.126
 10083	 223.1	13498	16.745	18.490	0.2572865	0.0000001	0.274
 10084	 206.5	238664	16.287	17.845	0.5030798	0.0000000	0.695
 10085	 126.5	144725	15.665	16.867	0.5469779	0.0000008	0.659
 10086	 223.3	127635	16.323	18.569	0.8300078	0.0000010	0.306
 10087	 223.4	182283	16.800	18.843	0.2958089	0.0000001	0.275
 10088	 206.6	192443	15.708	16.959	0.6424455	0.0000002	0.455
 10089	 143.3	16571	17.787	19.047	0.6164991	0.0000077	0.079
 10090	 223.1	122942	16.172	18.121	0.4952433	0.0000001	0.690
 10091	 188.3	93143	15.986	17.272	0.4711060	0.0000001	0.769
 10092	 232.7	90974	16.856	19.074	0.5164186	0.0000003	0.709
 10093	 174.8	151895	17.289	18.946	0.4184976	0.0000019	0.164
 10094	 104.2	31168	16.499	18.047	0.4515442	0.0000001	0.678
 10095	 223.1	13526	16.732	18.690	0.5008831	0.0000004	0.571
 10096	 158.6	17747	16.065	17.501	0.2859600	0.0000002	0.269
 10097	 158.5	104177	16.194	18.061	0.8128512	0.0000019	0.212
 10098	 143.4	54767	17.252	18.869	0.3150703	0.0000007	0.242
 10099	 188.1	181825	16.125	17.811	0.5933504	0.0000002	0.426
 10100	 206.8	267367	15.259	16.531	0.4174314	0.0000008	0.269
 10101	 104.4	98044	15.525	16.782	0.4864641	0.0000002	0.611
 10102	 188.3	225187	14.966	16.682	0.7180417	0.0000003	0.275
 10103	 232.6	165011	17.079	19.818	0.5600433	0.0000003	0.516
 10104	 215.6	161243	15.701	17.322	0.6089101	0.0000008	0.302
 10105	 223.4	182658	16.790	18.947	0.4894317	0.0000001	0.687
 10106	 215.5	85984	16.449	18.283	0.4758380	0.0000001	0.841
 10107	 183.5	177392	15.954	17.651	0.5852881	0.0000002	0.383
 10108	 183.5	68829	16.740	18.472	0.4754753	0.0000001	0.813
 10109	 232.8	38136	16.625	18.913	0.7145153	0.0000014	0.106
 10111	 126.6	139380	14.778	15.871	0.4295855	0.0000011	0.286
 10112	 158.5	61174	16.566	18.532	0.5651504	0.0000003	0.615
 10113	 158.6	112132	16.282	18.074	0.4898578	0.0000002	0.718
 10114	 174.6	58363	16.261	17.549	0.2690802	0.0000003	0.279
 10115	 206.6	59844	15.745	17.480	0.6230282	0.0000001	0.530
 10116	 223.2	72590	17.017	18.979	0.2756740	0.0000002	0.253
 10117	 206.7	273847	16.142	17.744	0.4801476	0.0000001	0.612
 10118	 232.6	164718	16.917	19.355	0.6215458	0.0000008	0.233
 10119	 183.6	13258	16.120	17.434	0.3153999	0.0000001	0.225
 10120	 215.7	107866	16.037	17.589	0.5961143	0.0000004	0.185
 10121	 158.8	73955	16.301	17.573	0.3159368	0.0000003	0.246
 10122	 104.3	28936	16.502	18.322	0.5696884	0.0000009	0.328
 10123	 166.8	6277	16.540	18.334	0.6151886	0.0000019	0.232
 10124	 166.5	61531	16.316	18.170	0.5835038	0.0000005	0.402
 10125	 232.6	30285	17.082	19.347	0.4060574	0.0000001	0.774
 10126	 183.5	177430	16.335	17.796	0.2533474	0.0000001	0.186
 10127	 104.4	230632	16.187	17.310	0.2818642	0.0000000	0.280
 10128	 158.8	73862	16.173	17.420	0.4588786	0.0000007	0.673
 10129	 232.8	208042	16.441	18.470	0.5279369	0.0000002	0.649
 10130	 151.7	97946	15.534	17.041	0.5266023	0.0000004	0.780
 10131	 215.7	235200	15.829	17.433	0.5975283	0.0000002	0.358
 10132	 166.6	181668	16.039	17.493	0.5630551	0.0000004	0.534
 10133	 135.8	63666	15.391	16.323	0.2594108	0.0000004	0.197
 10134	 188.3	93257	15.978	17.131	0.3120111	0.0000001	0.258
 10135	 215.8	167637	16.841	18.474	0.5987088	0.0000001	0.542
 10136	 223.1	177682	16.595	18.390	0.3231517	0.0000002	0.210
 10137	 223.4	71995	16.623	18.748	0.5812632	0.0000002	0.388
